venue_id,venue
791,"Campbell Park, Milton Keynes"
792,West End Park International Cricket Stadium
793,"Clontarf Cricket Club Ground, Dublin"
794,North Marine Road Ground
795,Kallang Ground
796,The Padang
797,Singapore Cricket Club
798,Peter Burge Oval
799,Kerrydale Oval
800,Bradman Oval
801,"Nelson Park, Napier"
802,"Colin Maiden Park, Auckland"
803,"Karori Park, Wellington"
804,Nevill Ground
805,Al Dhaid Cricket Village
806,The Rose Bowl (Nursery)
807,Myreside
808,Goldenacre
809,Thailand Cricket Ground
810,Waverley Oval
811,Adelaide Oval No. 2
812,VCA Ground
813,Jawaharlal Nehru Stadium
814,St  Pauls college ground  Kalamassery
815,Alembic 1 Cricket Ground
816,Ashlyns Road
817,West Mersea Cricket Club
818,Star Stile
819,Hare Field
820,Cricket Field Lane
821,Kent County Cricket Ground
822,Tony Ireland Stadium
823,The Hills Cricket Club Ground
824,Farmers Cricket Club Ground
825,FB Fields
826,Grainville
827,"Guyana National Stadium, Providence"
